Student_ID,Name,Age,Gender,Netflix,Prime,YouTube,Device_Used,Hours_per_day,Favourite_Genre,Subscription_Type
28,Isha Pandey,22,Male,No,Yes,Yes,Mobile,1.7,Horror,Free
29,Sneha Agarwal,23,Male,Yes,Yes,Yes,Laptop,1.3,Thriller,Free
30,Abhishek Pandey,20,Female,No,No,No,Laptop,4.3,Documentary,Paid
31,Arjun Joshi,20,Female,Yes,No,Yes,Smart TV,3.6,Thriller,Free
32,Nikhil Thakur,24,Male,Yes,Yes,Yes,Tablet,5.8,Thriller,Paid
33,Karan Thakur,19,Male,Yes,Yes,No,Smart TV,5.2,Drama,Free
34,Sneha Patel,25,Male,Yes,Yes,No,Laptop,2.2,Thriller,Free
35,Simran Tiwari,21,Female,No,Yes,No,Smart TV,1.5,Horror,Paid
36,Megha Patel,22,Female,No,Yes,Yes,Mobile,5.5,Thriller,Paid
37,Vikram Sharma,23,Male,No,No,No,Smart TV,1.8,Horror,Paid
38,Neha Verma,20,Male,No,Yes,No,Smart TV,1.4,Sci-Fi,Free
39,Tanya Pandey,22,Female,Yes,Yes,No,Laptop,0.5,Sci-Fi,Free
40,Sahil Joshi,21,Female,Yes,Yes,No,Smart TV,5.0,Action,Free
41,Aditi Saxena,18,Male,No,No,No,Mobile,1.4,Romance,Paid
42,Arjun Mehta,25,Female,Yes,No,No,Tablet,3.3,Romance,Paid
43,Sahil Reddy,23,Female,No,Yes,Yes,Laptop,5.6,Documentary,Paid
44,Vikram Nair,24,Female,No,Yes,Yes,Tablet,2.4,Comedy,Free
45,Isha Chopra,24,Female,No,Yes,No,Tablet,4.7,Thriller,Paid
46,Neha Pandey,24,Female,No,No,Yes,Smart TV,3.2,Documentary,Paid
47,Arjun Joshi,21,Female,No,No,Yes,Tablet,2.4,Horror,Free
48,Tanya Thakur,25,Male,Yes,No,Yes,Smart TV,3.8,Documentary,Paid
49,Arjun Gupta,21,Male,No,Yes,No,Tablet,3.2,Action,Paid
50,Rahul Bansal,23,Male,Yes,No,Yes,Laptop,5.9,Romance,Free
51,Ravi Sharma,21,Male,No,Yes,Yes,Smart TV,3.3,Action,Free
52,Ankit Yadav,22,Male,No,No,Yes,Tablet,3.8,Drama,Paid
53,Priya Nair,23,Male,Yes,Yes,Yes,Tablet,2.2,Comedy,Free
54,Megha Rana,20,Female,Yes,Yes,No,Mobile,5.6,Thriller,Free
55,Rahul Chopra,23,Male,No,Yes,No,Smart TV,3.4,Action,Paid
56,Pooja Kumar,22,Male,Yes,Yes,Yes,Laptop,1.7,Thriller,Free
57,Tanya Sharma,25,Male,Yes,Yes,Yes,Smart TV,5.2,Romance,Paid
58,Rohan Chopra,21,Female,Yes,Yes,No,Laptop,4.5,Sci-Fi,Paid
59,Karan Mehta,23,Female,No,No,Yes,Mobile,5.2,Documentary,Free
60,Divya Yadav,21,Male,No,No,No,Smart TV,4.0,Action,Paid
61,Rohan Singh,20,Male,No,Yes,No,Mobile,1.5,Documentary,Free
62,Priya Saxena,23,Female,Yes,Yes,No,Laptop,2.1,Drama,Paid
63,Abhishek Rana,20,Male,No,No,No,Mobile,2.2,Thriller,Paid
64,Priya Nair,18,Male,Yes,Yes,Yes,Laptop,4.0,Action,Paid
65,Sneha Patel,20,Male,Yes,No,Yes,Mobile,4.1,Documentary,Free
66,Aditi Mehta,19,Male,No,Yes,Yes,Laptop,3.4,Thriller,Paid
67,Aditi Dubey,19,Female,No,Yes,Yes,Tablet,3.3,Comedy,Free
68,Sahil Mehta,22,Male,No,No,No,Tablet,4.1,Thriller,Paid
69,Ravi Singh,25,Male,Yes,No,Yes,Tablet,5.2,Comedy,Free
70,Megha Tiwari,21,Male,Yes,No,Yes,Smart TV,4.1,Documentary,Free
71,Divya Saxena,20,Male,No,Yes,No,Mobile,1.2,Comedy,Free
72,Vikram Singh,19,Male,Yes,Yes,No,Tablet,5.1,Documentary,Paid
73,Abhishek Saxena,22,Male,Yes,Yes,Yes,Mobile,0.8,Romance,Paid
74,Tanya Yadav,22,Female,No,No,No,Tablet,0.9,Action,Paid
75,Nikhil Thakur,21,Female,No,Yes,No,Laptop,0.8,Drama,Free
76,Abhishek Thakur,22,Female,Yes,Yes,Yes,Tablet,5.6,Action,Free
77,Sneha Reddy,21,Male,Yes,Yes,No,Mobile,5.8,Drama,Free
78,Priya Thakur,21,Male,Yes,Yes,Yes,Smart TV,2.2,Comedy,Paid
79,Pooja Kumar,22,Female,No,No,Yes,Smart TV,1.4,Sci-Fi,Paid
80,Abhishek Bansal,19,Female,Yes,No,Yes,Tablet,3.5,Comedy,Free
81,Tanya Chopra,18,Female,Yes,Yes,No,Tablet,4.7,Sci-Fi,Free
82,Vikram Kumar,18,Female,No,Yes,No,Smart TV,4.2,Horror,Free
83,Megha Reddy,24,Male,Yes,Yes,Yes,Tablet,0.6,Thriller,Free
84,Rahul Tiwari,22,Male,No,Yes,No,Laptop,4.1,Romance,Paid
85,Sahil Yadav,25,Male,Yes,No,No,Smart TV,3.5,Comedy,Free
86,Arjun Nair,20,Female,Yes,Yes,Yes,Laptop,4.5,Drama,Free
87,Isha Dubey,19,Female,No,No,No,Tablet,4.2,Action,Paid
88,Vikram Singh,20,Female,Yes,No,No,Laptop,3.2,Horror,Paid
89,Nikhil Yadav,24,Female,No,Yes,No,Laptop,4.0,Action,Free
90,Simran Saxena,22,Female,No,Yes,No,Tablet,2.9,Romance,Paid
91,Sahil Saxena,22,Female,Yes,No,Yes,Mobile,3.5,Thriller,Free
92,Divya Tiwari,24,Male,No,No,Yes,Mobile,3.5,Sci-Fi,Paid
93,Arjun Reddy,19,Female,Yes,No,No,Mobile,1.9,Horror,Free
94,Isha Mehta,18,Male,Yes,No,No,Tablet,3.2,Action,Paid
95,Karan Patel,23,Female,No,Yes,Yes,Tablet,1.8,Thriller,Paid
96,Rahul Singh,22,Female,Yes,No,Yes,Laptop,4.3,Romance,Free
97,Ankit Nair,18,Female,Yes,Yes,No,Tablet,1.4,Action,Paid
98,Vikram Gupta,25,Female,No,No,No,Mobile,3.9,Comedy,Paid
99,Ravi Nair,22,Male,No,No,Yes,Mobile,5.0,Horror,Free
100,Pooja Verma,23,Male,No,No,Yes,Tablet,2.2,Drama,Paid
101,Sahil Patel,19,Male,No,No,Yes,Laptop,1.6,Horror,Free
102,Neha Mehta,18,Female,Yes,Yes,Yes,Smart TV,5.3,Drama,Free
103,Karan Patel,23,Female,Yes,Yes,No,Laptop,5.2,Romance,Free
104,Aditi Yadav,18,Female,Yes,Yes,Yes,Tablet,5.2,Drama,Paid
105,Neha Rana,22,Female,No,No,Yes,Laptop,4.5,Comedy,Paid
106,Megha Singh,22,Female,Yes,Yes,Yes,Smart TV,2.3,Thriller,Free
107,Divya Tiwari,20,Male,No,No,Yes,Laptop,4.4,Documentary,Free
108,Priya Kumar,23,Female,No,No,No,Tablet,1.0,Sci-Fi,Free
109,Sahil Sharma,22,Female,No,No,No,Tablet,3.5,Romance,Free
110,Rohan Sharma,25,Female,Yes,Yes,No,Tablet,3.3,Comedy,Free
111,Aditi Pandey,19,Female,No,Yes,Yes,Mobile,3.6,Horror,Free
112,Arjun Mehta,21,Female,No,Yes,Yes,Smart TV,4.9,Thriller,Free
113,Isha Saxena,20,Female,No,No,Yes,Mobile,2.2,Horror,Paid
114,Aditi Agarwal,25,Female,Yes,No,No,Smart TV,2.8,Drama,Paid
115,Pooja Gupta,18,Male,Yes,No,Yes,Laptop,1.5,Documentary,Free
116,Pooja Patel,23,Female,No,No,Yes,Mobile,0.8,Horror,Free
117,Vikram Bansal,21,Male,No,Yes,No,Tablet,3.7,Documentary,Paid
118,Sahil Saxena,24,Male,No,No,Yes,Mobile,1.3,Horror,Free
119,Nikhil Joshi,25,Female,No,Yes,No,Mobile,2.2,Romance,Free
120,Priya Saxena,24,Male,Yes,Yes,No,Laptop,2.4,Thriller,Paid
121,Divya Verma,18,Male,Yes,No,Yes,Mobile,4.3,Sci-Fi,Free
122,Tanya Thakur,18,Female,Yes,No,No,Mobile,5.6,Action,Free
123,Divya Bansal,23,Female,No,No,Yes,Tablet,4.7,Thriller,Free
124,Aditi Verma,23,Female,Yes,Yes,No,Smart TV,1.0,Horror,Paid
125,Nikhil Thakur,18,Female,No,No,Yes,Laptop,1.2,Horror,Free
126,Abhishek Gupta,25,Female,Yes,No,Yes,Smart TV,2.8,Sci-Fi,Free
127,Ravi Joshi,24,Male,Yes,Yes,No,Tablet,5.4,Drama,Paid
128,Vikram Tiwari,20,Female,No,Yes,Yes,Smart TV,5.5,Drama,Paid
129,Rahul Rana,22,Female,Yes,No,No,Mobile,0.8,Romance,Free
130,Divya Kumar,21,Male,No,Yes,No,Laptop,4.9,Action,Paid
131,Rahul Dubey,24,Female,Yes,Yes,Yes,Smart TV,4.3,Documentary,Paid
132,Pooja Verma,22,Female,Yes,No,Yes,Laptop,0.6,Comedy,Free
133,Sahil Mehta,23,Male,Yes,Yes,No,Smart TV,6.0,Romance,Free
134,Pooja Chopra,18,Male,Yes,Yes,Yes,Smart TV,1.2,Comedy,Paid
135,Arjun Agarwal,23,Male,No,Yes,No,Laptop,2.6,Documentary,Free
136,Rahul Reddy,24,Female,No,No,No,Smart TV,3.1,Sci-Fi,Paid
137,Karan Kumar,23,Female,Yes,No,Yes,Smart TV,5.6,Sci-Fi,Free
138,Pooja Verma,19,Female,No,Yes,No,Tablet,4.6,Sci-Fi,Paid
139,Tanya Dubey,19,Female,No,No,No,Mobile,4.7,Sci-Fi,Free
140,Aditi Thakur,18,Female,No,No,Yes,Laptop,1.2,Horror,Paid
141,Rohan Mehta,20,Male,Yes,Yes,Yes,Smart TV,5.1,Horror,Paid
142,Simran Reddy,25,Female,Yes,No,No,Laptop,2.0,Horror,Free
143,Neha Tiwari,22,Male,No,Yes,No,Mobile,1.4,Thriller,Paid
144,Abhishek Singh,20,Male,No,No,Yes,Tablet,5.4,Drama,Paid
145,Ankit Chopra,21,Male,No,Yes,No,Smart TV,2.7,Comedy,Paid
146,Rohan Sharma,18,Female,No,Yes,Yes,Smart TV,4.5,Comedy,Free
147,Sahil Nair,25,Female,No,No,Yes,Smart TV,5.8,Drama,Free
148,Ravi Verma,20,Female,No,No,No,Mobile,3.0,Horror,Free
149,Tanya Patel,21,Female,Yes,Yes,Yes,Mobile,5.9,Action,Paid
150,Divya Gupta,23,Female,Yes,Yes,Yes,Mobile,5.9,Sci-Fi,Paid
151,Priya Kumar,20,Male,Yes,Yes,Yes,Laptop,2.2,Drama,Free
152,Vikram Tiwari,25,Female,No,No,No,Tablet,5.2,Romance,Free
153,Nikhil Bansal,23,Female,Yes,No,Yes,Smart TV,0.7,Horror,Free
154,Sneha Sharma,20,Male,Yes,No,No,Laptop,0.9,Documentary,Free
155,Sahil Kumar,25,Male,No,No,No,Smart TV,0.8,Romance,Free
156,Sahil Tiwari,18,Male,Yes,No,No,Smart TV,3.1,Thriller,Free
157,Tanya Patel,25,Female,Yes,No,No,Smart TV,2.5,Documentary,Free
158,Pooja Sharma,25,Male,No,Yes,No,Smart TV,2.9,Documentary,Paid
159,Tanya Saxena,18,Female,Yes,Yes,No,Smart TV,3.7,Drama,Paid
160,Divya Bansal,19,Female,No,Yes,No,Tablet,2.1,Thriller,Paid
161,Sneha Reddy,25,Female,Yes,No,No,Laptop,1.6,Horror,Paid
162,Arjun Bansal,22,Male,Yes,No,No,Smart TV,5.6,Romance,Paid
163,Rohan Agarwal,21,Male,Yes,No,No,Mobile,5.4,Documentary,Free
164,Nikhil Singh,25,Male,Yes,No,Yes,Smart TV,1.7,Comedy,Paid
165,Nikhil Joshi,21,Female,No,No,Yes,Smart TV,5.6,Drama,Paid
166,Ankit Patel,22,Female,No,Yes,No,Smart TV,5.3,Romance,Paid
167,Ankit Tiwari,19,Male,No,Yes,Yes,Tablet,4.1,Action,Paid
168,Simran Singh,24,Female,No,No,No,Laptop,3.4,Horror,Free
169,Rahul Mehta,24,Female,No,Yes,No,Tablet,5.4,Comedy,Free
170,Ravi Saxena,21,Male,Yes,No,Yes,Tablet,5.8,Horror,Free
171,Neha Thakur,19,Female,Yes,No,No,Smart TV,4.7,Sci-Fi,Free
172,Rohan Rana,20,Female,No,No,No,Smart TV,2.7,Thriller,Free
173,Aditi Rana,25,Female,Yes,No,Yes,Smart TV,5.7,Documentary,Paid
174,Rahul Patel,18,Female,No,No,No,Laptop,4.5,Drama,Paid
175,Rahul Nair,19,Male,Yes,No,Yes,Laptop,2.4,Sci-Fi,Free
176,Vikram Dubey,21,Female,Yes,Yes,No,Laptop,2.0,Action,Free
177,Tanya Reddy,21,Male,Yes,No,Yes,Tablet,5.2,Romance,Free
178,Neha Yadav,21,Female,Yes,No,Yes,Mobile,0.7,Romance,Paid
179,Tanya Patel,21,Male,No,No,No,Smart TV,4.7,Drama,Paid
180,Tanya Gupta,24,Male,Yes,Yes,Yes,Laptop,0.6,Romance,Paid
181,Pooja Joshi,22,Female,Yes,Yes,Yes,Tablet,1.2,Drama,Free
182,Abhishek Nair,22,Female,No,Yes,No,Smart TV,2.8,Comedy,Paid
183,Nikhil Pandey,25,Female,No,No,Yes,Smart TV,3.4,Drama,Free
184,Priya Joshi,25,Female,Yes,No,Yes,Smart TV,3.5,Documentary,Free
185,Rahul Sharma,25,Female,Yes,No,No,Tablet,5.7,Comedy,Free
186,Neha Thakur,23,Male,Yes,Yes,No,Mobile,2.7,Romance,Paid
187,Pooja Tiwari,20,Male,Yes,No,No,Mobile,4.6,Romance,Free
188,Ravi Pandey,19,Male,No,Yes,Yes,Laptop,3.1,Action,Free
189,Abhishek Dubey,22,Male,No,Yes,Yes,Laptop,0.8,Comedy,Free
190,Tanya Joshi,21,Male,Yes,Yes,Yes,Tablet,3.7,Comedy,Paid
191,Nikhil Singh,20,Female,No,No,No,Mobile,4.9,Thriller,Free
192,Pooja Chopra,25,Female,Yes,No,Yes,Mobile,5.4,Comedy,Paid
193,Sahil Dubey,24,Male,No,Yes,Yes,Tablet,5.8,Documentary,Free
194,Tanya Gupta,25,Male,No,No,No,Smart TV,4.3,Sci-Fi,Free
195,Ravi Mehta,20,Male,No,Yes,Yes,Tablet,2.0,Romance,Paid
196,Pooja Rana,24,Male,No,Yes,No,Mobile,1.0,Comedy,Free
197,Ankit Mehta,24,Female,No,No,No,Mobile,0.9,Drama,Paid
198,Megha Tiwari,22,Male,No,No,Yes,Tablet,1.1,Horror,Free
199,Arjun Reddy,21,Female,Yes,No,No,Tablet,4.1,Horror,Paid
200,Arjun Dubey,19,Male,Yes,No,Yes,Smart TV,5.2,Romance,Paid
201,Aditi Nair,23,Male,No,No,Yes,Laptop,0.8,Thriller,Paid
202,Nikhil Kumar,21,Male,Yes,Yes,No,Mobile,3.2,Comedy,Free
203,Sneha Nair,21,Female,Yes,No,No,Mobile,2.3,Horror,Paid
204,Rahul Sharma,19,Male,Yes,No,Yes,Laptop,2.1,Comedy,Paid
205,Megha Rana,22,Female,Yes,No,Yes,Smart TV,0.9,Action,Free
206,Ravi Saxena,22,Male,Yes,No,Yes,Laptop,1.9,Horror,Free
207,Divya Thakur,22,Male,No,No,No,Smart TV,2.8,Drama,Free
208,Isha Tiwari,21,Female,No,Yes,Yes,Mobile,2.9,Drama,Free
209,Nikhil Nair,25,Male,No,Yes,No,Tablet,0.8,Horror,Paid
210,Tanya Yadav,21,Male,Yes,Yes,No,Mobile,3.0,Documentary,Paid
211,Sahil Gupta,19,Female,No,No,No,Mobile,5.1,Action,Paid
212,Pooja Saxena,24,Female,Yes,No,No,Mobile,1.1,Thriller,Free
213,Sahil Singh,23,Female,No,Yes,Yes,Mobile,2.7,Comedy,Free
214,Tanya Verma,18,Female,Yes,No,Yes,Laptop,3.7,Romance,Free
215,Vikram Chopra,18,Male,Yes,No,Yes,Laptop,1.1,Documentary,Free
216,Pooja Thakur,24,Female,Yes,Yes,No,Laptop,2.0,Romance,Free
217,Ravi Nair,25,Female,No,No,Yes,Smart TV,3.3,Action,Paid
218,Vikram Verma,22,Male,Yes,Yes,Yes,Laptop,1.8,Documentary,Paid
219,Priya Reddy,19,Male,No,No,No,Tablet,3.5,Documentary,Paid
220,Simran Bansal,22,Female,Yes,Yes,Yes,Tablet,1.9,Documentary,Free
221,Pooja Verma,21,Male,No,Yes,Yes,Laptop,2.4,Romance,Free
222,Simran Singh,18,Male,Yes,No,No,Tablet,3.4,Thriller,Paid
223,Sahil Patel,22,Female,No,Yes,Yes,Tablet,4.8,Romance,Paid
224,Karan Tiwari,20,Male,No,Yes,No,Smart TV,4.6,Romance,Free
225,Ankit Verma,18,Male,Yes,Yes,Yes,Mobile,3.0,Action,Free
226,Karan Kumar,22,Male,Yes,No,No,Laptop,0.5,Romance,Paid
227,Megha Verma,20,Female,No,No,No,Smart TV,4.5,Horror,Free
228,Karan Yadav,20,Male,Yes,Yes,No,Laptop,4.3,Romance,Paid
229,Vikram Thakur,23,Male,No,No,Yes,Smart TV,5.3,Comedy,Free
230,Nikhil Mehta,23,Male,No,No,No,Smart TV,1.0,Romance,Paid
231,Abhishek Reddy,19,Female,No,Yes,Yes,Tablet,3.6,Action,Paid
232,Ankit Agarwal,21,Female,Yes,Yes,No,Laptop,2.3,Documentary,Free
233,Ravi Rana,18,Female,Yes,Yes,No,Mobile,2.2,Action,Paid
234,Neha Saxena,22,Female,Yes,No,Yes,Laptop,4.8,Romance,Free
235,Tanya Pandey,24,Male,Yes,Yes,Yes,Tablet,3.8,Thriller,Free
236,Rohan Verma,21,Male,Yes,No,No,Smart TV,4.5,Documentary,Paid
237,Rahul Patel,23,Male,Yes,No,No,Mobile,4.0,Comedy,Paid
238,Divya Agarwal,18,Female,No,Yes,Yes,Smart TV,4.3,Drama,Free
239,Karan Singh,20,Male,Yes,Yes,Yes,Tablet,2.0,Sci-Fi,Paid
240,Neha Rana,25,Female,Yes,No,Yes,Tablet,1.3,Sci-Fi,Free
241,Nikhil Gupta,24,Male,No,Yes,No,Mobile,0.5,Horror,Free
242,Aditi Pandey,23,Female,No,No,Yes,Tablet,0.9,Horror,Paid
243,Tanya Rana,22,Male,No,No,Yes,Tablet,2.8,Horror,Free
244,Arjun Dubey,24,Female,Yes,Yes,Yes,Laptop,3.9,Thriller,Paid
245,Rohan Mehta,24,Male,Yes,Yes,No,Tablet,1.5,Sci-Fi,Free
246,Nikhil Sharma,19,Female,Yes,No,No,Tablet,4.7,Horror,Free
247,Megha Yadav,25,Female,No,No,No,Smart TV,3.1,Thriller,Free
248,Sneha Reddy,18,Male,No,No,Yes,Laptop,5.9,Action,Free
249,Sahil Agarwal,18,Female,No,Yes,No,Tablet,1.1,Horror,Free
250,Arjun Saxena,22,Male,No,Yes,No,Tablet,3.5,Action,Paid
251,Megha Pandey,23,Male,Yes,Yes,Yes,Mobile,2.7,Sci-Fi,Free
252,Ankit Chopra,20,Female,Yes,No,Yes,Tablet,1.1,Action,Free
253,Vikram Verma,19,Female,No,No,No,Smart TV,2.8,Drama,Paid
254,Karan Gupta,19,Female,No,No,No,Laptop,3.4,Documentary,Free
255,Arjun Chopra,21,Female,Yes,Yes,No,Mobile,3.4,Drama,Free
256,Neha Sharma,25,Male,Yes,Yes,Yes,Mobile,5.7,Action,Paid
257,Pooja Pandey,22,Male,No,Yes,Yes,Laptop,2.3,Sci-Fi,Paid
258,Neha Joshi,21,Male,Yes,Yes,No,Tablet,2.7,Sci-Fi,Paid
259,Rohan Joshi,22,Female,Yes,Yes,No,Laptop,1.5,Drama,Free
260,Neha Kumar,18,Male,Yes,Yes,No,Mobile,4.5,Thriller,Paid
261,Simran Mehta,24,Female,Yes,No,No,Laptop,3.8,Documentary,Free
262,Isha Yadav,23,Male,Yes,No,Yes,Mobile,0.8,Thriller,Free
263,Aditi Rana,22,Male,Yes,No,No,Smart TV,1.9,Drama,Free
264,Simran Bansal,24,Male,Yes,Yes,Yes,Tablet,2.4,Documentary,Paid
265,Nikhil Verma,22,Male,No,No,No,Smart TV,3.0,Action,Free
266,Vikram Agarwal,20,Male,Yes,Yes,Yes,Laptop,3.5,Comedy,Free
267,Ankit Joshi,23,Female,Yes,No,No,Smart TV,4.0,Comedy,Paid
268,Pooja Rana,19,Female,Yes,Yes,Yes,Laptop,5.1,Thriller,Free
269,Pooja Mehta,18,Male,Yes,Yes,No,Smart TV,3.4,Horror,Free
270,Karan Reddy,18,Female,No,Yes,No,Laptop,3.7,Thriller,Paid
271,Arjun Mehta,19,Male,No,No,Yes,Smart TV,2.6,Comedy,Paid
272,Isha Tiwari,18,Female,Yes,Yes,Yes,Mobile,3.6,Action,Paid
273,Rohan Reddy,24,Male,Yes,No,Yes,Tablet,3.7,Comedy,Paid
274,Ravi Mehta,19,Female,Yes,No,No,Smart TV,5.8,Sci-Fi,Paid
275,Simran Sharma,18,Male,No,Yes,No,Tablet,2.7,Drama,Paid
276,Simran Sharma,20,Female,No,No,Yes,Smart TV,3.3,Horror,Free
277,Rohan Dubey,22,Female,Yes,No,No,Smart TV,2.1,Romance,Free
278,Nikhil Sharma,21,Female,Yes,No,Yes,Mobile,4.2,Action,Paid
279,Karan Yadav,19,Male,Yes,Yes,No,Smart TV,1.2,Horror,Free
280,Megha Rana,19,Male,No,Yes,No,Smart TV,5.1,Sci-Fi,Paid
281,Sahil Dubey,22,Male,No,No,No,Smart TV,1.9,Horror,Paid
282,Megha Reddy,18,Male,No,No,Yes,Tablet,4.3,Horror,Paid
283,Ankit Kumar,23,Male,No,Yes,No,Laptop,5.7,Drama,Paid
284,Isha Dubey,18,Male,No,No,Yes,Laptop,4.0,Drama,Free
285,Ravi Rana,25,Female,No,Yes,Yes,Mobile,2.2,Action,Free
286,Megha Yadav,22,Male,No,No,Yes,Laptop,4.4,Documentary,Paid
287,Rohan Pandey,20,Male,Yes,Yes,No,Mobile,1.2,Action,Free
288,Rahul Yadav,23,Female,Yes,Yes,No,Smart TV,2.7,Horror,Free
289,Simran Dubey,25,Male,Yes,Yes,No,Mobile,0.6,Thriller,Paid
290,Sahil Pandey,24,Male,Yes,Yes,No,Tablet,1.1,Sci-Fi,Free
291,Vikram Mehta,23,Male,Yes,No,Yes,Mobile,3.9,Action,Paid
292,Rahul Nair,20,Female,Yes,Yes,Yes,Mobile,1.3,Horror,Paid
293,Megha Rana,21,Male,No,Yes,Yes,Laptop,4.3,Drama,Free
294,Isha Agarwal,18,Male,No,Yes,Yes,Smart TV,1.7,Horror,Free
295,Priya Pandey,22,Female,No,Yes,Yes,Smart TV,1.0,Romance,Paid
296,Ankit Chopra,18,Female,Yes,Yes,Yes,Tablet,3.5,Drama,Free
297,Arjun Tiwari,18,Male,Yes,Yes,Yes,Laptop,3.0,Comedy,Paid
298,Nikhil Tiwari,20,Male,Yes,Yes,Yes,Laptop,1.2,Thriller,Paid
299,Megha Nair,21,Male,No,No,No,Smart TV,5.1,Documentary,Free
300,Tanya Rana,20,Female,Yes,No,Yes,Laptop,5.4,Romance,Paid
301,Sahil Rana,24,Female,No,Yes,No,Mobile,2.8,Romance,Free
302,Abhishek Verma,25,Female,Yes,Yes,Yes,Mobile,0.8,Documentary,Free
303,Ravi Kumar,24,Male,No,Yes,No,Laptop,4.6,Sci-Fi,Paid
304,Sahil Patel,23,Male,No,Yes,No,Tablet,2.7,Thriller,Free
305,Karan Pandey,18,Male,No,No,Yes,Tablet,4.1,Action,Paid
306,Abhishek Agarwal,24,Female,No,Yes,No,Mobile,0.6,Drama,Free
307,Isha Bansal,24,Female,No,No,No,Mobile,5.1,Documentary,Free
308,Karan Tiwari,20,Female,No,Yes,No,Laptop,0.9,Comedy,Free
309,Ravi Agarwal,21,Female,Yes,No,No,Laptop,4.2,Sci-Fi,Paid
310,Tanya Tiwari,21,Male,No,Yes,Yes,Smart TV,2.4,Thriller,Paid
311,Ravi Singh,22,Female,Yes,Yes,Yes,Tablet,6.0,Horror,Paid
312,Divya Agarwal,19,Female,No,Yes,Yes,Laptop,2.4,Drama,Paid
313,Rahul Gupta,20,Male,No,Yes,Yes,Smart TV,3.3,Sci-Fi,Free
314,Divya Singh,24,Male,No,Yes,No,Laptop,5.1,Drama,Paid
315,Arjun Nair,23,Male,Yes,Yes,No,Laptop,2.7,Romance,Free
316,Arjun Dubey,21,Female,Yes,No,Yes,Mobile,2.8,Romance,Free
317,Divya Sharma,20,Male,Yes,Yes,No,Laptop,2.2,Sci-Fi,Paid
318,Abhishek Joshi,22,Female,No,Yes,Yes,Smart TV,3.6,Horror,Paid
319,Priya Kumar,25,Female,Yes,Yes,No,Tablet,3.1,Drama,Paid
320,Arjun Singh,21,Female,No,Yes,No,Laptop,2.1,Documentary,Paid
321,Karan Patel,25,Male,Yes,No,Yes,Tablet,5.1,Action,Free
322,Rahul Verma,20,Male,Yes,No,Yes,Tablet,5.7,Comedy,Paid
323,Sneha Thakur,18,Female,No,Yes,Yes,Tablet,2.6,Romance,Free
324,Abhishek Gupta,20,Male,No,Yes,Yes,Mobile,1.0,Romance,Paid
325,Arjun Reddy,20,Female,No,Yes,No,Mobile,2.3,Comedy,Free
326,Karan Patel,21,Female,No,No,Yes,Laptop,1.8,Sci-Fi,Free
327,Nikhil Kumar,19,Female,No,Yes,Yes,Laptop,0.7,Thriller,Free
328,Rohan Chopra,25,Female,No,Yes,Yes,Mobile,0.7,Horror,Free
329,Aditi Singh,18,Female,Yes,No,No,Laptop,4.7,Action,Paid
